Symbol,Company Name,Industry,Market Cap
BKNG,Booking Holdings,Travel Services,100340139196
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,30245589243
BKSC,Bank of South Carolina,Banks - Regional,90225688
BKSY,BlackSky Technology,Scientific & Technical Instruments,197003711
BKTI,BK Technologies,Communication Equipment,46745050
BKU,BankUnited,Banks - Regional,1667373546
BKYI,BIO-key International,Security & Protection Services,6458723
BL,BlackLine,Software - Application,3892438368
BLAC,Bellevue Life Sciences Acquisition,Shell Companies,86544435
BLBD,Blue Bird,Auto Manufacturers,632633975
BLBX,Blackboxstocks,Software - Application,10518554
BLCM,Bellicum Pharmaceuticals,Biotechnology,2756330
BLCO,Bausch + Lomb,Medical Instruments & Supplies,5943016844
BLD,TopBuild,Engineering & Construction,6489791280
BLDE,Blade Air Mobility,Airports & Air Services,239924848
BLDP,Ballard Power Systems,Specialty Industrial Machinery,1641436544
BLDR,Builders FirstSource,Building Products & Equipment,12443161920
BLEU,bleuacacia ltd,Shell Companies,352762510
BLFS,BioLife Solutions,Medical Instruments & Supplies,860879580
BLFY,Blue Foundry Bancorp,Banks - Regional,263947488
BLIN,Bridgeline Digital,Software - Infrastructure,9907138
BLK,BlackRock,Asset Management,100118772760
BLKB,Blackbaud,Software - Application,3704358799
BLMN,Bloomin' Brands,Restaurants,2213046383
BLND,Blend Labs,Software - Application,237965785
BLNG,Belong Acquisition,Shell Companies,86031208
BLNK,Blink Charging Co.,Engineering & Construction,500421705
BLPH,Bellerophon Therapeutics,Biotechnology,93406908
BLRX,BioLineRx,Biotechnology,59217049
BLTE,Belite Bio,Biotechnology,708969574
BLU,BELLUS Health,Biotechnology,878444380
BLUA,BlueRiver Acquisition,Shell Companies,356872381
BLUE,bluebird bio,Biotechnology,351021000
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Banks - Regional,625509595
BLZE,Backblaze,Software - Infrastructure,162293387
BMA,Banco Macro,Banks - Regional,2341476063
BMAC,Black Mountain Acquisition,Shell Companies,358800000
BMAQ,Blockchain Moon Acquisition,Shell Companies,157081050
BMBL,Bumble,Software - Application,3644003783
BMEA,Biomea Fusion,Biotechnology,829040800
BMI,Badger Meter,Scientific & Technical Instruments,3620590080
BMO,Bank of Montreal,Banks - Diversified,63997033805
BMR,Beamr Imaging,,121
BMRA,Biomerica,Medical Devices,31103495
BMRC,Bank of Marin Bancorp,Banks - Regional,345692139
BMRN,BioMarin Pharmaceutical,Biotechnology,18018700627
BMTX,BM Technologies,Software - Application,41243408
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,146578974770
BN,Brookfield,Asset Management,50616350966
BNED,Barnes & Noble Education,Specialty Retail,77854364
BNGO,Bionano Genomics,Diagnostics & Research,333800519
BNIX,Bannix Acquisition,Shell Companies,56766908
